Date,Open,High,Low,Close,Volume,Adj Close
1972-05-25,402.999992,404.000015,401.25,404.000015,660800,6.47887
1972-05-24,402.000008,404.749985,400.499992,402.999992,769600,6.462833
1972-05-23,400.999985,402.50,397.750015,402.000008,820800,6.446797
1972-05-22,398.499985,401.500015,398.499985,400.999985,1099200,6.430759
1972-05-19,394.500008,397.999992,394.500008,396.25,563200,6.354585
1972-05-18,390.00,395.00,390.00,394.500008,833600,6.32652
1972-05-17,383.75,389.500008,383.499985,389.500008,577600,6.246336
1972-05-16,386.500015,387.000008,383.499985,383.75,385600,6.154125
1972-05-15,384.500008,386.749992,384.500008,386.500015,464000,6.198226
1972-05-12,383.499985,386.500015,380.625,382.000008,520000,6.12606
1972-05-11,383.75,386.500015,382.999992,383.499985,587200,6.150115
1972-05-10,379.249992,385.999985,379.000015,383.75,401600,6.154125
1972-05-09,385.750008,385.750008,379.249992,379.249992,996800,6.081959
1972-05-08,387.000008,387.000008,383.499985,386.25,475200,6.194217
1972-05-05,384.500008,389.749985,382.750015,388.75,544000,6.234309
1972-05-04,379.000015,385.00,376.749992,384.500008,508800,6.166152
1972-05-03,380.00,383.75,378.75,379.000015,496000,6.0563
1972-05-02,382.50,385.999985,380.00,380.00,491200,6.07228
1972-05-01,385.999985,386.25,382.000008,382.50,316800,6.112229
1972-04-28,381.25,387.000008,381.25,385.999985,347200,6.168158
1972-04-27,380.999985,384.500008,380.999985,380.999985,336000,6.088259
1972-04-26,381.500015,385.00,379.249992,380.00,651200,6.07228
1972-04-25,383.499985,383.499985,380.999985,381.500015,395200,6.096249
1972-04-24,385.00,385.499992,383.250008,385.00,352000,6.152178
1972-04-21,387.750015,389.249992,383.499985,385.00,787200,6.152178
1972-04-20,390.750008,390.750008,387.50,387.750015,577600,6.196122
